         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   800748    0.541    0.000    0.541    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    88504    0.539    0.000    0.539    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
     3568    0.538    0.000    0.538    0.000 {built-in method torch.as_tensor}
    50224    0.024    0.000    0.535    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2232(named_parameters)
    50224    0.160    0.000    0.511    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2193(_named_members)
     7136    0.045    0.000    0.504    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\normalization.py:200(forward)
    11288    0.496    0.000    0.496    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
   204256    0.154    0.000    0.490    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\utils\sparse.py:132(is_sparse)
     2416    0.274    0.000    0.479    0.000 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\minigrid\environment.py:278(_get_node_features)
    57088    0.471    0.000    0.471    0.000 {method 'narrow' of 'torch._C.TensorBase' objects}
    11288    0.458    0.000    0.458    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
   165008    0.106    0.000    0.454    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:646(__cat_dim__)
    77152    0.045    0.000    0.450    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:567(edge_index)
     7136    0.034    0.000    0.446    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\functional.py:2558(layer_norm)
     2920    0.015    0.000    0.416    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_tensor.py:1037(__iter__)
     3568    0.009    0.000    0.415    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:3261(signature)
     3568    0.008    0.000    0.406    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:3007(from_callable)
     7136    0.399    0.000    0.399    0.000 {built-in method torch.layer_norm}
     3568    0.050    0.000    0.398    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:2435(_signature_from_callable)
   417600    0.325    0.000    0.387    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2322(named_children)
     2920    0.386    0.000    0.386    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
   308608    0.140    0.000    0.372    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\view.py:37(__iter__)
     3568    0.101    0.000    0.371    0.000 C:\Users\elrod\AppData\Local\Temp\gnn_EmbedConv_propagate_xg0j2fax.py:33(collect)
   232683    0.246    0.000    0.338    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
